Year,AnnualMaxLoss
817,216164.475648
818,3793472.991492
819,2199616.281790
820,27684767.028726
821,277207965.845667
822,2625234.775704
823,23262566.840467
824,1658803.218559
825,380599.205863
826,594755876.614765
827,2605976.539015
828,39285584.190675
829,237293.145628
830,32515430.692118
831,2364173.433461
832,3404299.260822
833,10578878.503710
834,1503785.257903
835,1052700.194872
836,3129481.607610
837,808166.945558
838,8553.224065
839,8865254.333726
840,4338327.500721
841,766627056.157146
842,577063.301823
843,4189090.746335
844,9666380.939875
845,152676123.207061
846,187706.171950
847,10673112.832139
848,1451636.752632
849,83658900.526933
850,32551.671035
851,63073738.305491
852,51932053.204556
853,289698.360090
854,125838.249574
855,46403317.052950
856,6010944.297695
857,990783.471747
858,222613.269703
859,12060005.079061
860,4273311.608726
861,927731.153442
862,1009410.656841
863,651772.301666
864,3070879.109513
865,135046050.683933
866,147682.124477
867,265851.405898
868,565751.330800
869,142639440.815388
870,49714026.718235
871,913683.354601
872,500343053.399024
873,12204.351645
874,12237739.991951
875,1106513.456000
876,193928.367616
877,10703969.634513
878,19178700.478319
879,2395583.004931
880,2863134.226034
881,9579653.253132
882,2506177.170339
883,75873.404299
884,6112400.541245
885,53265001.424131
886,12231988.001611
887,10746877.687191
888,100972671.040031
889,73203865.466599
890,1431209.137938
891,16362050.128132
892,42120.207867
893,35378391.436532
894,144202791.402565
895,842210.067530
896,214086.175715
897,26597634.053272
898,50754497.787110
899,58904917.614569
900,4143039.133638
901,6075758.857278
902,30993271.571707
903,303780204.944107
904,5488978.498483
905,35629.730346
906,1790453.383299
907,4919127.662691
908,126071385.110719
909,32850051.265071
910,23259079.903793
911,765373.557920
912,227983.345024
913,153882.623263
914,7637.729818
915,9421.786414
916,45035.643141
917,202176470.512307
918,94154936.063063
919,21531756.983531
920,3418025.887057
921,147522522.065358
922,340747.882286
923,2273551.317585
924,3650562.573542
925,71490717.452910
926,32626434.053762
927,75055956.876073
928,316430.103993
929,2804719.945562
930,978018.263455
931,23026351.710580
932,12803767.298445
933,9898758.922396
934,797341.316054
935,716703.750982
936,48652549.097481
937,64322.559791
938,112938342.004505
939,169052.232973
940,141760904.012925
941,29716276.579463
942,337997.834580
943,62454347.722594
944,9260679.533591
945,7011512.621456
946,34886319.074911
947,1185375.559159
948,318758.604204
949,235010.470527
950,16381834.891586
951,3921818.610263
952,33976016.309345
953,35022428.394625
954,74367602.360920
955,67096.808318
956,192673.823385
957,685568.459887
958,4256338.397847
959,5111734.512128
960,3948834.206655
961,3784803.284175
962,7885585.334376
963,100287021.355634
964,106992911.185686
965,46208.183543
966,5465953.140420
967,44714.919729
968,72703411.634649
969,3385675.297532
970,48262480.910585
971,32645710.363288
972,414347094.320685
973,115054005.633327
974,115624.235392
975,18820828.430453
976,2405125.714238
977,6237900.186116
978,10237798.034048
979,3896652.375648
980,58107550.527839
981,4747.285291
982,462291.197371
983,928494.260661
984,6059653.375096
985,80775969.113985
986,106822.807713
987,16121342.683767
988,279110288.586251
989,15994711.023656
990,585748.464727
991,2186378.218810
992,861061.761511
993,590321.380723
994,46482434.982982
995,99872.030104
996,7681038.739542
997,1961797.325374
998,2062429462.711321
999,2038.217641
1000,26004650.038711
1001,231828368.505396
1002,6571921.449275
1003,103219035.563874
1004,81220652.045343
1005,2052062.860910
1006,10844311.037962
1007,104152.096209
1008,19175085.482581
1009,1049343.373572
1010,6429533.271079
1011,1701438.549637
1012,2540033.953406
1013,5873482.534391
1014,49703.973332
1015,15956310.487789
1016,63794380.279202
1017,1498748.774258
1018,339896.819184
1019,332720357.261759
1020,7023750.249441
1021,179419.428429
1022,869782.608766
1023,2833.918564
1024,3908108.946485
1025,1700917.368611
1026,21873919.375865
1027,53869.587901
1028,13296775.026992
1029,951975.086577
1030,10029417.291871
1031,3231978.227341
1032,1102531.679728
1033,4492829.603587
1034,139593.068119
1035,8863314.559414
1036,1858038.910443
1037,15999827.893092
1038,9651959.681565
1039,7560531.897453
1040,106828879.006056
1041,157024345.141858
1042,1614771.209571
1043,1754103.115914
1044,1667000.800009
1045,560100506.306385
1046,18096328.195381
1047,52751908.161392
1048,680719.236249
1049,283633.864034
1050,34471787.223381
1051,1610729.760760
1052,102855216.493038
1053,27245177.799356
1054,93319603.646802
1055,25458967.107282
1056,1534759.879887
1057,131402.319293
1058,50556841.176612
1059,3657064.481023
1060,1266257.334107
1061,45155.017718
1062,2375118.596433
1063,32127417.432308
1064,2146791.864272
1065,18975254.167245
1066,15206.476987
1067,10298668.786576
1068,1422349.539736
1069,498993407.083621
1070,10268364.290320
1071,233248.151591
1072,2372539.594877
1073,7337853.020285
1074,74796.228150
1075,308520.305035
1076,18720372.213111
1077,3601161.859211
1078,5143187.970108
1079,2053160.271947
1080,17059262.448564
1081,35197405.455424
1082,125620.816966
1083,99671.921911
1084,350834.182900
1085,13165.593396
1086,903404.176495
1087,766271.720904
1088,780042.829442
1089,5526896.372329
1090,6664312.523436
1091,36400970.617470
1092,1886582.708770
1093,24297744.890865
1094,31414856.733679
1095,2773890.435512
1096,9518137.543565
1097,43746825.991703
1098,473203.603518
1099,283855.282095
1100,69861510.341099
1101,1053457604.010736
1102,16793357.159258
1103,568944.666337
1104,368117.713922
1105,93634241.263454
1106,704263.421026
1107,119234798.796989
1108,11084681.380938
1109,180.134604
1110,55317999.826319
1111,79907079.710251
1112,8629110.471849
1113,2230541.106441
1114,80760.054762
1115,10756.470053
1116,208268998.762390
1117,93956177.817704
1118,606623.890278
1119,28268229.539339
1120,202202.811487
1121,1660733.995317
1122,124455682.673333
1123,396775.421031
1124,64325931.389743
1125,8583323.343701
1126,3433324.002346
1127,4725905.568575
1128,1414857.883524
1129,1788406.631863
1130,2708.469206
1131,46.245025
1132,4288172.379985
1133,150648205.497602
1134,1035820.195572
1135,14669.093848
1136,19300517.206401
1137,6424099.852481
1138,8499529.109916
1139,273143092.678693
1140,1561699.828982
1141,14697189.144099
1142,625380.864217
1143,398580.254283
1144,448349.692021
1145,9043805.382889
1146,18818955.706702
1147,875518.146139
1148,548034.443649
1149,5085800.008863
1150,177850.307824
1151,88418890.900085
1152,220351.780272
1153,149062262.593794
1154,80256007.472274
1155,3849595.152629
1156,214472652.661277
1157,267071490.329198
1158,4246789062.688694
1159,7780251.312442
1160,702468.395962
1161,371464694.860164
1162,1793653.021567
1163,439437.173573
1164,69659213.340767
1165,85804370.190168
